name,education,awards
Rodney Brooks,"['Stanford University', 'Flinders University']",['IJCAI Computers and Thought Award']
Margaret Burnett,[],[]
Rod Burstall,"['University of Cambridge', 'University of Birmingham']",['ACM']
Michael Butler,"['Trinity College, Dublin', 'Wolfson College', 'Oxford']",[]
Pino Caballero Gil,[],[]
Tracy Camp,"['The College of William and Mary', 'Michigan State University', 'Kalamazoo College']",['ACM Fellow']
Martin Campbell-Kelly,['Sunderland Polytechnic'],[]
Rosemary Candlin,['University of Cambridge'],[]
Rod Canion,[],[]
Bryan Cantrill,[],[]
Luca Cardelli,"['University of Pisa', 'University of Edinburgh']","['Dahl–Nygaard Prize', 'ACM Fellow']"
John Carmack,[],[]
Michael E. Caspersen,"['Aarhus U.', 'Aarhus U.', 'Aarhus U.']","['ACM', 'ACM', 'Aarhus U.', 'ACM SIGCSE Award for Outstanding Contribution to Computer Science Education']"
Edwin Catmull,['University of Utah'],"['Academy Award', 'IEEE John von Neumann Medal', 'Computer History Museum', 'ACM Turing Award']"
Vint Cerf,"['Stanford University', 'University of California, Los Angeles']","['ACM Fellow', 'IEEE Alexander Graham Bell Medal', 'IEEE Medal of Honor', 'National Medal of Technology', 'Marconi Prize', 'Prince of Asturias Award', 'Turing Award', 'Presidential Medal of Freedom', 'Japan Prize', 'Harold Pender Award', 'Queen Elizabeth Prize for Engineering', 'ForMemRS']"
Gregory Chaitin,[],[]
Robert Cailliau,"['Ghent University', 'University of Michigan']",[]
Zhou Chaochen,[],"['Academician', 'Chinese Academy of Sciences']"
Peter Chen,"['National Taiwan University', 'Harvard University']","['ACM - AAAI Allen Newell Award', 'Harry H. Goode Memorial Award', 'DAMA International', 'Pan Wen-Yuan']"
Leonardo Chiariglione,[],[]
Tracy Chou,['Stanford University'],[]
Alonzo Church,['Princeton University'],[]
Alberto Ciaramella,[],[]
Edmund M. Clarke,['Cornell University'],['A.M. Turing Award']
John Cocke,['Duke University'],"['ACM Turing Award', 'Computer Pioneer Award', 'National Medal of Technology', 'National Medal of Science', 'IEEE John von Neumann Medal', 'Computer History Museum']"
Edgar F. Codd,"['Exeter College, Oxford', 'University of Michigan']",['Turing Award']
Jacques Cohen,[],[]
Ian Coldwater,[],[]
Simon Colton,"['Durham University', 'University of Liverpool', 'University of Edinburgh']",[]
Alain Colmerauer,[],[]
Douglas Comer,[],[]
Paul Justin Compton,[],[]
Richard W. Conway,"['Cornell', 'Cornell']","['NAE', 'INFORMS']"
Gordon Cormack,[],[]
Stephen Cook,"['Harvard University', 'University of Michigan']","['Turing Award', 'Gödel Lecture', 'CRM-Fields-PIMS prize', 'John L. Synge Award', 'Bernard Bolzano Medal', 'Gerhard Herzberg Canada Gold Medal for Science and Engineering', 'Officer of Order of Canada', 'BBVA Foundation Frontiers of Knowledge Award']"
James Cooley,[],[]
Danese Cooper,"['University of California, Los Angeles']",[]
