name,education,awards
Aravind Joshi,"['College of Engineering, Pune', 'Indian Institute of Science', 'University of Pennsylvania']",[]
Bill Joy,"['University of Michigan', 'University of California, Berkeley']","['ACM Grace Murray Hopper Award', 'National Academy of Engineering', 'American Academy of Arts and Sciences', 'Computer History Museum']"
Dan Jurafsky,['University of California at Berkeley'],['MacArthur Fellowship']
William Kahan,['University of Toronto'],"['Turing Award', 'IEEE Emanuel R. Piore Award', 'National Academy of Engineering', 'ACM Fellow']"
Robert Kahn,"['City College of New York', 'Princeton University']","['Marconi Prize', 'National Medal of Technology and Innovation', 'IEEE Alexander Graham Bell Medal', 'Charles Stark Draper Prize', 'Prince of Asturias Award', 'Turing Award', 'Presidential Medal of Freedom', 'Computer History Museum', 'Japan Prize', 'Harold Pender Award', 'Queen Elizabeth Prize for Engineering', 'IEEE Medal of Honor']"
Avinash Kak,"['University of Madras', 'Indian Institute of Technology, Delhi']",[]
Poul-Henning Kamp,[],[]
David Karger,"['Harvard University', 'Stanford University']",[]
Richard M. Karp,['Harvard University'],"['Fulkerson Prize', 'Turing Award', 'John von Neumann Theory Prize', 'IEEE Computer Society Charles Babbage Award', 'National Medal of Science', 'Harvey Prize', 'EATCS award', 'Benjamin Franklin Medal', 'Kyoto Prize']"
Narendra Karmarkar,"['IIT Bombay', 'Caltech', 'University of California, Berkeley']",[]
Marek Karpinski,[],[]
Ted Kaehler,"['Stanford University', 'Carnegie Mellon University']",[]
Alan Kay,"['University of Colorado at Boulder', 'University of Utah College of Engineering']","['Turing Award', 'Kyoto Prize', 'Charles Stark Draper Prize']"
Neeraj Kayal,['IIT Kanpur'],[]
Manolis Kellis,['Massachusetts Institute of Technology'],"['Presidential Early Career Award for Scientists and Engineers', 'NSF CAREER Award', 'Sloan Research Fellowship']"
John G. Kemeny,['Princeton University'],['Computer Pioneer Award']
Ken Kennedy,"['Rice University', 'New York University']",[]
Brian Kernighan,"['University of Toronto', 'BASc', 'Princeton University']",[]
Carl Kesselman,[],[]
Gregor Kiczales,['Massachusetts Institute of Technology'],[]
Peter T. Kirstein,"['Highgate School', 'University of Cambridge', 'Stanford University']","['Marconi Prize', 'SIGCOMM Award', 'Jonathan B. Postel Service Award']"
Stephen Cole Kleene,"['Amherst College', 'Princeton University']","['Leroy P. Steele Prize', 'National Medal of Science']"
Dan Klein,"['Cornell University', 'University of Oxford', 'MSt', 'Stanford University']","['Grace Murray Hopper Award', 'Sloan Research Fellowship']"
Leonard Kleinrock,"['City College of New York', 'MIT']","['Marconi Prize', 'Harry H. Goode Memorial Award', 'National Medal of Science', 'National Academy of Engineering', 'Charles Stark Draper Prize', 'IEEE Alexander Graham Bell Medal', 'BBVA Foundation Frontiers of Knowledge Award']"
Donald Knuth,"['Case Institute of Technology', 'California Institute of Technology']","['SIGCSE Outstanding Contribution', 'Grace Murray Hopper Award', 'Turing Award', 'Member of the National Academy of Sciences', 'National Medal of Science', 'John von Neumann Medal', 'Harvey Prize', 'Kyoto Prize', 'Foreign Member of the Royal Society', 'Faraday Medal', 'BBVA Foundation Frontiers of Knowledge Award', 'Turing Lecture', 'Flajolet Lecture']"
Andrew Koenig,['Columbia University'],[]
Daphne Koller,"['Hebrew University of Jerusalem', 'Stanford University']","['ISCB Fellow', 'IJCAI Computers and Thought Award', 'MacArthur Fellow', 'PECASE', 'ACM Prize in Computing']"
Michael Kölling,"['University of Bremen', 'University of Sydney']","['SIGCSE Award for Outstanding Contribution to Computer Science Education', 'National Teaching Fellowship', 'Pearcey Award']"
Andrey Kolmogorov,['Moscow State University'],"['Russian Academy of Sciences', 'Stalin Prize', 'Balzan Prize', 'ForMemRS', 'Lenin Prize', 'Wolf Prize', 'Lobachevsky Prize']"
Janet L. Kolodner,"['Brandeis University', 'Yale University']",['AAAI Fellow']
David Korn,[],[]
Cornelis H. A. Koster,['University of Amsterdam'],[]
Robert Kowalski,"['University of Chicago', 'University of Bridgeport', 'Stanford University', 'University of Warsaw', 'University of Edinburgh']",['IJCAI Award for Research Excellence']
John Koza,[],[]
John Krogstie,[],[]
Joseph Kruskal,"['University of Chicago', 'Princeton University']",[]
Maarja Kruusmaa,"['Tallinn University of Technology', 'Chalmers University of Technology']",[]
Thomas E. Kurtz,"['Princeton University', 'Knox College', 'mathematics']",[]
Richard E. Ladner,"[""St. Mary's College of California"", 'University of California, Berkeley']","['Guggenheim Fellowship', 'ACM Fellow', 'IEEE Fellow', 'SIGCHI Social Impact Award', 'SIGACCESS Outstanding Contribution to Computing and Accessibility Award']"
Monica S. Lam,"['University of British Columbia', 'Alma mater', 'Carnegie Mellon University']",[]
Leslie Lamport,"['Massachusetts Institute of Technology', 'Brandeis University']","['Dijkstra Prize', 'IEEE Emanuel R. Piore Award', 'IEEE John von Neumann Medal', 'Turing Award', 'Member of the National Academy of Sciences', 'ACM Fellow']"
Butler Lampson,"['Harvard University', 'University of California, Berkeley']","['Turing Award', 'ACM Fellow', 'IEEE John von Neumann Medal', 'Member of the National Academy of Sciences', 'Draper Prize', 'Foreign Member of the Royal Society']"
Peter Landin,"['Clare College', 'Cambridge University']",[]
Tom Lane,['Carnegie Mellon University'],[]
Börje Langefors,[],[]
Chris Lattner,"['University of Portland', 'University of Illinois at Urbana-Champaign']","['ACM SIGPLAN Programming Languages Software Award', 'ACM Software System Award']"
Steve Lawrence,[],[]
Edward D. Lazowska,"['Brown University', 'University of Toronto']",[]
Joshua Lederberg,"['Alma mater', 'Stuyvesant High School', 'Columbia University', 'Yale University']","['Nobel Prize in Physiology or Medicine', 'National Medal of Science', 'Presidential Medal of Freedom']"
Manny Lehman,['Imperial College London'],"['Harlan D. Mills Award', 'FREng']"
Charles E. Leiserson,"['Carnegie Mellon University', 'Yale University']",[]
Douglas Lenat,"['University of Pennsylvania', 'Stanford University']",['IJCAI Computers and Thought Award']
Yann LeCun,"['ESIEE Paris', 'Pierre and Marie Curie University']","['Turing Award', 'AAAI Fellow', 'Legion of Honour']"
Rasmus Lerdorf,['University of Waterloo'],[]
Max Levchin,['University of Illinois at Urbana-Champaign'],[]
Leonid Levin,"['Moscow University', 'Massachusetts Institute of Technology']",['Knuth Prize']
Kevin Leyton-Brown,"['McMaster University', 'Stanford University']",[]
J. C. R. Licklider,"['Washington University in St. Louis', 'University of Rochester']",[]
David Liddle,[],[]
Jochen Liedtke,"['Bielefeld University', 'Technical University of Berlin']",[]
John Lions,"['Alma mater', 'University of Sydney', 'University of Cambridge']",[]
Charles H. Lindsey,[],[]
Richard Lipton,['Carnegie Mellon'],['Knuth Prize']
Barbara Liskov,"['University of California, Berkeley', 'Stanford University']","['IEEE John von Neumann Medal', 'A. M. Turing Award', 'Computer Pioneer Award']"
Yanhong Annie Liu,"['Cornell University', 'Tsinghua University', 'Peking University']",[]
Darrell Long,"['San Diego State University', 'University of California, San Diego']","['IEEE Fellow', 'AAAS Fellow']"
Patricia D. Lopez,['New Mexico State University'],[]
Gillian Lovegrove,"['Newnham College, Cambridge', 'Cambridge University']",[]
Ada Lovelace,[],[]
David Luckham,['MIT'],[]
Eugene M. Luks,[],[]
Nancy Lynch,"['Brooklyn College', 'MIT']","['ACM Fellow', 'Dijkstra Prize', 'National Academy of Engineering', 'Van Wijngaarden Award', 'IEEE Emanuel R. Piore Award', 'National Academy of Sciences', 'Knuth Prize']"
Nadia Magnenat Thalmann,"['University of Geneva', 'École Polytechnique Fédérale de Lausanne']",[]
Tom Maibaum,"['University of Toronto', 'University of London']",['Fellow of the Royal Society of Arts']
Simon Marlow,"['University of Glasgow', 'University of Bristol']",['SIGPLAN Programming Languages Software Award']
Zohar Manna,"['Technion – Israel Institute of Technology', 'Carnegie Mellon University']","['Fellow of the Association for Computing Machinery', 'Herbrand Award', 'Technical University of Munich', 'École Normale Supérieure de Cachan']"
James Martin,['University of Oxford'],['Turing Lecture']
Robert C. Martin,[],[]
John Mashey,['Pennsylvania State University'],[]
Yuri Matiyasevich,['Leningrad State University'],"['Petersburg Mathematical Society', 'Humboldt Award']"
Yukihiro Matsumoto,"['University of Tsukuba', 'Shimane University']",[]
John Mauchly,['Johns Hopkins University'],"['Harry H. Goode Memorial Award', 'Harold Pender Award', 'IEEE Emanuel R. Piore Award']"
Ujjwal Maulik,"['Nabadwip Bakultala High School', 'Calcutta University', 'Jadavpur University']",[]
Derek McAuley,['University of Cambridge'],['FREng']
Conor McBride,['University of Edinburgh'],[]
John McCarthy,"['Princeton University', 'California Institute of Technology']","['Turing Award', 'Computer Pioneer Award', 'IJCAI Award for Research Excellence', 'Kyoto Prize', 'National Medal of Science', 'Benjamin Franklin Medal']"
Andrew McCallum,"['Dartmouth College', 'University of Rochester']",[]
Douglas McIlroy,"['Cornell University', 'Massachusetts Institute of Technology']",[]
Chris McKinstry,[],[]
Marshall Kirk McKusick,"['University of California, Berkeley']",[]
Lambert Meertens,[],['IFIP']
Kurt Mehlhorn,['Cornell University'],"['Leibniz Prize', 'Konrad Zuse Medal', 'EATCS Award', 'Paris Kanellakis Award']"
Dora Metcalf,[],[]
Bertrand Meyer,"['Université de Nancy', 'Stanford University', 'École Polytechnique']",[]
Silvio Micali,"['La Sapienza University of Rome', 'UC Berkeley']","['Gödel Prize', 'Turing Award', 'ACM Fellow']"
Robin Milner,[],"['Turing Award', 'FRS', 'DFBCS', 'FRSE']"
Jack Minker,"['Brooklyn College', 'University of Wisconsin', 'University of Pennsylvania']","['ACM Fellow', 'when?', 'Allen Newell Award']"
Marvin Minsky,"['Harvard University', 'Princeton University']","['Turing Award', 'Japan Prize', 'AAAI Fellow', 'IJCAI Award for Research Excellence', 'Benjamin Franklin Medal', 'BBVA Foundation Frontiers of Knowledge Award']"
James G. Mitchell,"['University of Waterloo', 'Carnegie Mellon University']",['J.W. Graham Medal']
Tom M. Mitchell,"['Stanford University', 'Massachusetts Institute of Technology']","['IJCAI Computers and Thought Award', 'Presidential Young Investigator Award']"
Arvind,"['IIT Kanpur', 'B.Sc., 1969', 'University of Minnesota']",[]
Paul Mockapetris,"['Massachusetts Institute of Technology', 'University of California at Irvine']","['IEEE Internet Award', 'ACM Fellow', 'SIGCOMM Award', 'Software System Award']"
Cleve Moler,"['California Institute of Technology', 'Stanford University']","['Computer Pioneer Award', 'IEEE John von Neumann Medal']"
Faron Moller,"['University of British Columbia', 'University of Waterloo', 'University of Edinburgh']",[]
John P. Moon,[],[]
Charles H. Moore,[],[]
Edward F. Moore,"['Alma mater', 'Virginia Tech', 'Brown University']",[]
Gordon Moore,"['University of California, Berkeley', 'California Institute of Technology']","['National Medal of Technology', 'John Fritz Medal', 'IEEE Founders Medal', 'Computer History Museum', 'Othmer Gold Medal', 'Presidential Medal of Freedom', 'Perkin Medal', 'Nierenberg Prize', 'IEEE Medal of Honor']"
J Strother Moore,"['Massachusetts Institute of Technology', 'University of Edinburgh']","['Herbrand Award', 'ACM Software System Award']"
Roger Moore,['Stanford University'],"['Grace Murray Hopper Award', 'Opera Canada Ruby']"
Hans Moravec,"['Acadia University', 'University of Western Ontario', 'Stanford University']",[]
Carroll Morgan,['University of Sydney'],[]
Robert Tappan Morris,"['Harvard University ', 'Harvard University']",[]
Joel Moses,"['Columbia University', 'Massachusetts Institute of Technology']",[]
Rajeev Motwani,"[""St. Columba's School, Delhi"", 'IIT Kanpur', 'B.Tech', 'C.S.', 'UC Berkeley', 'C.S.']",['Gödel Prize']
Oleg A. Mukhanov,[],[]
Stephen Muggleton,['University of Edinburgh'],"['FREng', 'FBCS', 'FIET', 'FAAAI']"
Klaus-Robert Müller,"['University of Karlsruhe', 'Diplom', 'University of Karlsruhe']",['Academy of Sciences Leopoldina']
Alan Mycroft,"['University of Cambridge', 'University of Edinburgh']",[]
Brad A. Myers,"['Massachusetts Institute of Technology', 'University of Toronto']","['SIGCHI', 'ACM Fellow', 'IEEE Fellow', 'CHI Academy']"
Mihai Nadin,[],[]
Makoto Nagao,['Kyoto University'],"['IEEE Emanuel R. Piore Award', 'ACL', 'Japan Prize']"
Frieder Nake,[],[]
Bonnie Nardi,[],[]
Peter Naur,[],"['Computer Pioneer Award', 'Turing Award']"
Roger Needham,"['Doncaster Grammar School for Boys', 'University of Cambridge']",['Faraday Medal']
James G. Nell,[],[]
Greg Nelson,"['Harvard University', 'Stanford University']",['Herbrand Award']
Bernard de Neumann,[],[]
Klára Dán von Neumann,[],[]
John von Neumann,"['Pázmány Péter University', 'University of Berlin', 'ETH Zürich']","['Bôcher Memorial Prize', 'Navy Distinguished Civilian Service Award', 'Medal for Merit', 'Medal of Freedom', 'Enrico Fermi Award', 'Carl-Gustaf Rossby Research Medal']"
Allen Newell,"['Stanford University', 'Princeton University', 'Carnegie Mellon University']","['A.M. Turing Award', 'IJCAI Award for Research Excellence', 'IEEE Emanuel R. Piore Award', 'National Medal of Science', 'Louis E. Levy Medal']"
Max Newman,"[""St John's College, Cambridge""]","['Fellow of the Royal Society', 'Sylvester Medal', 'De Morgan Medal']"
Andrew Ng,"['Raffles Institution', 'University of California, Berkeley', 'Massachusetts Institute of Technology', 'Carnegie Mellon University']","['Sloan Fellowship', 'MIT Technology Review', 'TR35', 'IJCAI Computers and Thought Award', 'Time 100', 'Fortune', 'CNN', 'Fast Company', 'World Economic Forum']"
Nils John Nilsson,['Stanford University'],[]
G. M. Nijssen,[],[]
Tobias Nipkow,[],[]
Maurice Nivat,['Joseph Fourier University'],"['French Academy of Sciences', ""Legion d'honneur"", 'Ordre national du Mérite', 'Ordre des Palmes Académiques', 'EATCS', 'University of Bologna', 'University of Quebec at Montreal']"
Phiwa Nkambule,"['University of Pretoria', 'Cefups Academy']","['Forbes Africa 30 under 30', 'Destiny Man', 'Times']"
Jerre Noe,"['UC Berkeley', 'Stanford University']",[]
Peter Nordin,"['University of Dortmund', 'Chalmers University of Technology', 'Göteborg University']",[]
Don Norman,"['MIT', 'University of Pennsylvania']",[]
Peter Norvig,"['Brown University', 'University of California, Berkeley']","['AAAI Fellow', 'ACM Fellow']"
George Novacky,['University of Pittsburgh'],[]
Kristen Nygaard,['University of Oslo'],"['Turing Award', 'IEEE John von Neumann Medal', 'Order of St. Olav', 'Norbert Wiener Award for Social and Professional Responsibility']"
Martin Odersky,"['Ludwig Maximilian University of Munich', 'ETH Zurich']",[]
Peter O'Hearn,"['Dalhousie University', ""Queen's University""]","['Doctor of Laws', 'Dalhousie University', 'Fellow of the Royal Society', 'Gödel Prize', 'Fellow of the Royal Academy of Engineering', 'Royal Society Wolfson Research Merit Award']"
T. William Olle,[],[]
Steve Omohundro,"['Stanford University', 'University of California, Berkeley']",[]
Severo Ornstein,[],[]
John O'Sullivan,[],"[""Prime Minister's Prize for Science"", 'M. A. Sargent Medal']"
John Ousterhout,"[""Bachelor's degree""]","['Grace Murray Hopper Award', 'ACM Software System Award']"
Mark Overmars,['Utrecht University'],[]
Susan Owicki,['Cornell University'],[]
Larry Page,"['University of Michigan', 'Stanford University']",[]
Sankar Kumar Pal,"['Rajabazar Science College', 'University of Calcutta', 'Indian Statistical Institute', 'Imperial College London']","['Padma Shri', 'Shanti Swarup Bhatnagar Prize']"
Paritosh Pandya,[],[]
Christos Papadimitriou,"['Athens Polytechnic', 'Princeton University']","['Von Neumann Medal', 'EATCS Award', 'Gödel Prize', 'IEEE Computer Society Charles Babbage Award', 'Knuth Prize']"
David Park,"['University of Oxford', 'Massachusetts Institute of Technology']",[]
David Parnas,[],[]
DJ Patil,"['Alma mater', 'University of California, San Diego', 'University of Maryland College Park']",[]
Yale Patt,[],[]
David Patterson,"['South High School', 'University of California, Los Angeles']","['Charles Stark Draper Prize', 'Turing Award', 'Eckert–Mauchly Award', 'Member of the National Academy of Sciences', 'Fellow of the American Association for the Advancement of Science', 'ACM Fellow']"
Mike Paterson,['University of Cambridge'],"['Dijkstra Prize', 'EATCS Award']"
Mihai Pătrașcu,['Massachusetts Institute of Technology'],[]
Lawrence Paulson,"['California Institute of Technology', 'Stanford University']",['ACM Fellow']
Randy Pausch,"['Brown University', 'Carnegie Mellon University']","['Special Interest Group on Computer Science Education', 'ACM', 'Time', 'Time 100']"
Juan Pavón,"['Technical University of Madrid', 'Université Pierre et Marie Curie']",[]
Judea Pearl,"['Technion – Israel Institute of Technology', 'New Jersey Institute of Technology', 'Rutgers University', 'New York University Tandon School of Engineering']","['IJCAI Award for Research Excellence', 'Turing Award', 'Rumelhart Prize', 'Harvey Prize', 'BBVA Foundation Frontiers of Knowledge Award']"
Alan Perlis,"['Chemistry', 'Carnegie Mellon', 'MIT']","['Turing Award', 'Computer Pioneer Award']"
Radia Perlman,['MIT'],[]
Pier Giorgio Perotto,[],[]
Rózsa Péter,[],[]
Simon Peyton Jones,['University of Cambridge'],['ACM Fellow']
Kathy Pham,"['Georgia Institute of Technology', 'Supélec']",[]
Roberto Pieraccini,[],[]
Keshav K Pingali,"['IIT Kanpur', 'MIT']","['IEEE Charles Babbage Award', 'ACM/IEEE CS Ken Kennedy Award', 'Member of the Academia Europaea']"
Gordon Plotkin,"['University of Glasgow', 'University of Edinburgh']","['Milner Award', 'Royal Society Wolfson Research Merit Award', 'EATCS Award']"
Amir Pnueli,[],"['Turing Award', 'Israel Prize']"
Willem van der Poel,"['Delft University of Technology', 'University of Amsterdam']",['Computer Pioneer Award']
Robin Popplestone,"[""Queen's University Belfast"", 'University of Manchester', 'University of Leeds']",[]
Cicely Popplewell,['University of Cambridge'],[]
Emil Leon Post,"['City College of New York', 'Columbia University']",[]
Jon Postel,"['University of California, Los Angeles']","['Internet Hall of Fame', 'SIGCOMM Award']"
Franco P. Preparata,['University of Rome'],['ACM Fellow']
William H. Press,"['Harvard University', 'California Institute of Technology']",[]
Rapelang Rabana,[],[]
Grzegorz Rozenberg,['Polish Academy of Sciences'],[]
Michael O. Rabin,"['Hebrew University of Jerusalem', 'University of Pennsylvania', 'Princeton University']","['Weizmann Prize', 'Turing Award', 'Harvey Prize', 'Gibbs lecture', 'Israel Prize', 'IEEE Computer Society Charles Babbage Award', 'Paris Kanellakis Award', 'EMET Prize', 'Gödel Lecture', 'Dan David Prize', 'Dijkstra Prize']"
Dragomir R. Radev,[],[]
T. V. Raman,[],['ACM Doctoral Dissertation Award']
Brian Randell,['Imperial College London'],[]
Anders P. Ravn,"['University of Copenhagen', 'Technical University of Denmark']",['Order of the Dannebrog']
Raj Reddy,"['University of Madras', 'BE', 'University of New South Wales', 'MTech', 'Stanford University']","['Legion of Honor', 'Turing Award', 'Padma Bhushan', 'Vannevar Bush Award']"
David P. Reed,['MIT'],[]
Trygve Reenskaug,[],[]
John C. Reynolds,"['Purdue University', 'Harvard University']",['Lovelace Medal']
Joyce K. Reynolds,['University of Southern California'],[]
Reinder van de Riet,['University of Amsterdam'],[]
Bernard Richards,[],[]
Martin Richards,['University of Cambridge'],[]
Adam Ries,[],[]
C. J. van Rijsbergen,"['University of Western Australia', 'University of Cambridge']",[]
Dennis Ritchie,['Harvard University'],"['IEEE Emanuel R. Piore Award', 'Turing Award', 'National Medal of Technology', 'IEEE Richard W. Hamming Medal', 'Computer Pioneer Award', 'Computer History Museum', 'Harold Pender Award', 'Japan Prize']"
Ron Rivest,"['Stanford University', 'Yale University']","['Paris Kanellakis Award', 'Turing Award', 'Marconi Prize', 'BBVA Foundation Frontiers of Knowledge Awards', 'National Inventors Hall of Fame']"
Ken Robinson,['University of Sydney'],['University of New South Wales']
Colette Rolland,[],[]
John Romero,[],[]
Azriel Rosenfeld,[],"['IEEE Emanuel R. Piore Award', 'King-Sun Fu']"
Douglas T. Ross,"['Oberlin College', 'Massachusetts Institute of Technology']","['Joseph Marie Jacquard', 'Society of Manufacturing Engineers']"
Guido van Rossum,['University of Amsterdam'],['Award for the Advancement of Free Software']
M. A. Rothman,[],[]
Winston W. Royce,[],[]
Rudy Rucker,"['St. Xavier High School', 'Swarthmore College', 'Rutgers University']",[]
Steven Rudich,[],['Gödel Prize']
Jeff Rulifson,"['University of Washington', 'Stanford University']",[]
James Rumbaugh,[],[]
Peter Ružička,[],[]
George Sadowsky,['Harvard University'],[]
Mehrnoosh Sadrzadeh,"['Université du Québec à Montréal', 'Sharif University of Technology']",[]
Umar Saif,"['Alma mater', 'Lahore University of Management Sciences', 'University of Cambridge', 'Massachusetts Institute of Technology']",[]
Gerard Salton,"['Brooklyn College', 'Harvard University']",[]
Jean E. Sammet,"['Mount Holyoke College', 'University of Illinois at Urbana Champaign', 'Columbia University']","['Ada Lovelace Award', 'Computer Pioneer Award']"
Claude Sammut,[],[]
Carl Sassenrath,"['University of California, Davis']",[]
Mahadev Satyanarayanan,"['Carnegie Mellon University (Ph.D.)', 'IIT Madras (M.Tech., B.Tech.)']","['ACM Software System Award', 'ACM SIGOPS Hall of Fame Award', 'ACM SIGMOBILE Test-of-Time Award', 'ACM Fellow', 'IEEE Fellow']"
Walter Savitch,"['University of California, Berkeley']",[]
Jonathan Schaeffer,"['University of Waterloo', 'University of Toronto']","['AAAI', 'Alberta Centennial Medal']"
Wilhelm Schickard,[],[]
Jürgen Schmidhuber,['Technical University of Munich'],[]
Steve Schneider,['University of Oxford'],[]
Bruce Schneier,"['American University', 'University of Rochester']",[]
Fred B. Schneider,['Stony Brook University'],['IEEE Emanuel R. Piore Award']
Sarita Schoenebeck,"['Georgia Institute of Technology', 'University of California, Berkeley', 'Dartmouth College']",[]
Glenda Schroeder,[],[]
Bernhard Schölkopf,"['University of London', 'University of Tübingen', 'TU Berlin']","['Max Planck Research Award (2011)', 'Milner Award', 'Leibniz Prize', 'Körber European Science Prize', 'BBVA Foundation Frontiers of Knowledge Awards']"
Dana Scott,"['UC Berkeley', 'Princeton University']","['Leroy P. Steele Prize', 'Turing Award', 'Tarski Lectures', 'Harold Pender Award', 'Gödel Lecture', 'Rolf Schock Prize']"
Michael L. Scott,[],[]
Robert Sedgewick,['Brown University'],"['ACM Fellow', 'Leroy P. Steele Prize']"
Ravi Sethi,"['Indian Institute of Technology, Kanpur', 'Princeton University']",[]
Nigel Shadbolt,"['Newcastle University', 'University of Edinburgh']",['Knight Bachelor']
Adi Shamir,"['Tel Aviv University', 'Weizmann Institute of Science']","['Erdős Prize', 'Weizmann Prize', 'Paris Kanellakis Award', 'Turing Award', 'Foreign Associate of the National Academy of Sciences', 'Israel Prize', 'Foreign Member of the Royal Society']"
Claude Shannon,"['University of Michigan', 'BSE', 'Massachusetts Institute of Technology']","['Morris Liebmann Memorial Prize', 'Stuart Ballantine Medal', 'IEEE Medal of Honor', 'National Medal of Science', 'Harvey Prize', 'Claude E. Shannon Award', 'Harold Pender Award', 'John Fritz Medal', 'Kyoto Prize', 'Marconi Society Lifetime Achievement Award', 'National Inventors Hall of Fame']"
David E. Shaw,"['University of California, San Diego', 'Stanford University']",[]
Cliff Shaw,[],[]
Scott Shenker,"['Brown University', 'University of Chicago']","['National Academy of Engineering', 'IEEE', 'ACM Fellow', 'IEEE', 'Paris Kanellakis Award']"
Shashi Shekhar,[],[]
Ben Shneiderman,"['City College of New York', 'Stony Brook University']",['ACM Fellow']
Edward H. Shortliffe,"['Harvard University', 'Stanford University']",[]
Daniel Siewiorek,"['University of Michigan', 'Stanford University']","['Eckert–Mauchly Award', 'Taylor L. Booth Education Award']"
Joseph Sifakis,"['National Technical University of Athens', 'University of Grenoble']","['National Technical University of Athens', 'University of Grenoble']"
Herbert A. Simon,['University of Chicago'],"['Member of the National Academy of Sciences', 'APA Award for Distinguished Scientific Contributions to Psychology', 'Turing Award', 'Nobel Prize in Economics', 'National Medal of Science', 'Harold Pender Award', 'von Neumann Theory Prize', 'APA Award for Lifetime Contributions to Psychology', 'ACM Fellow', 'IJCAI Award for Research Excellence']"
Munindar P. Singh,"['University of Texas at Austin', 'Indian Institute of Technology Delhi']","['ACM Fellow', 'AAAS', 'ACM', 'SIGAI', 'AAAI', 'IEEE']"
Ramesh Sitaraman,"['Indian Institute of Technology, Madras', 'Princeton University']",[]
Daniel Sleator,"['University of Illinois at Urbana–Champaign', 'Stanford University']",['Paris Kanellakis Award']
Aaron Sloman,[],[]
Arne Sølvberg,[],[]
Brian Cantwell Smith,['MIT'],[]
David Canfield Smith,"['Oberlin College', 'Stanford University']",[]
Steven Spewak,[],[]
Carol Spradling,['University of Nebraska - Lincoln'],[]
Robert Sproull,"['Alma mater', 'Deep Springs College', 'Cornell University']",[]
Rohini Kesavan Srihari,"['University of Waterloo', 'University at Buffalo']",[]
Sargur Srihari,"['Bangalore University', 'Indian Institute of Science', 'Ohio State University']","['IEEE', 'IAPR']"
Maciej Stachowiak,['Course 6 - Electrical Engineering and Computer Science'],[]
Richard Stallman,"['Harvard University', 'Massachusetts Institute of Technology']","['MacArthur Fellowship', 'ACM Grace Murray Hopper Award', 'EFF Pioneer Award', 'ACM Software System Award', 'Internet Hall of Fame']"
Ronald Stamper,[],[]
Thad Starner,[],[]
Richard E. Stearns,"['Carleton College', 'Princeton University']","['ACM', 'Turing Award', 'Frederick W. Lanchester Prize']"
Guy L. Steele Jr.,"['Harvard University', 'MIT']","['ACM Grace Murray Hopper Award', 'Harry H. Goode Memorial Award']"
Thomas Sterling,"['Old Dominion University', 'Massachusetts Institute of Technology']","['Fellow at American Association for Advancement of Science', 'Senior Member of Institute for Electrical and Electronic Engineering', 'Gordon Bell Prize', 'Vanguard Award', 'Fellow of International Supercomputing Conference', 'Hertz Fellowship']"
Alexander Stepanov,[],[]
W. Richard Stevens,"['University of Michigan', 'University of Arizona']",[]
Larry Stockmeyer,[],[]
Salvatore J. Stolfo,[],[]
Michael Stonebraker,"['Princeton University', 'University of Michigan']","['IEEE John von Neumann Medal', 'ACM Turing Award']"
Olaf Storaasli,[],[]
Christopher Strachey,"[""Gresham's School"", 'University of Cambridge']",[]
Volker Strassen,['University of Göttingen'],[]
Bjarne Stroustrup,"['Aarhus University', 'Cand.scient.', 'University of Cambridge']","['Grace Murray Hopper Award', 'ACM Fellow', 'IEEE Fellow', 'William Procter Prize for Scientific Achievement', ""Dr. Dobb's Excellence Award"", 'Dahl–Nygaard Prize', 'CHM Fellow', 'IET Faraday Medal', 'Charles Stark Draper Prize', 'Computer Pioneer Award', 'John Scott Medal']"
Madhu Sudan,"['IIT Delhi', 'University of California, Berkeley']",['Gödel Prize']
Gerald Jay Sussman,[],"['IJCAI Computers and Thought Award', 'ACM Fellow']"
Bert Sutherland,"['RPI', 'MIT']",['Legion of Merit']
Ivan Sutherland,"['Carnegie Institute of Technology', 'California Institute of Technology']","['Turing Award', 'Computer Pioneer Award', 'IEEE John von Neumann Medal', 'ACM Fellow', 'Member of the National Academy of Sciences', 'Kyoto Prize', 'when?']"
Latanya Sweeney,"['Harvard University', 'ALB', 'MIT']",[]
Mario Szegedy,['University of Chicago'],['Gödel Prize']
Parisa Tabriz,[],[]
Roberto Tamassia,[],[]
Andrew S. Tanenbaum,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",[]
Austin Tate,"['Lancaster University', 'University of Edinburgh']",['AAAI Fellow']
Bernhard Thalheim,"['Dresden University of Technology', 'Lomonosov Moscow State University']","['Peter P. Chen Award', 'Elsevier']"
Éva Tardos,['Eötvös Loránd University'],"['Fulkerson Prize', 'Dantzig Prize', 'Gödel Prize', 'EATCS Award', 'IEEE John von Neumann Medal']"
Gábor Tardos,['Eötvös Loránd University'],"['Gödel Prize', 'Erdős Prize', 'Alfréd Rényi Prize', 'EMS Prize']"
Robert Tarjan,"['California Institute of Technology', 'Stanford University']","['Paris Kanellakis Award', 'Turing Award', 'Nevanlinna Prize']"
Valerie Taylor,"['Purdue University', 'University of California at Berkeley']","['Harriett B. Rigas', 'A. Nico Habermann Award', 'Richard A. Tapia Achievement Award for Scientific Scholarship, Civic Science, and Diversifying Computing (Q21020802)']"
Mario Tchou,[],[]
